name, geometry, date (mm/dd/yr), short wavelength displacement, source file
Series 10, POINT(-118.80732102477252 34.01706934711741), 03/30/2019, -0.0001717806, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190330T015002Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 04/05/2019, -0.0009880066, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190405T014920Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 04/11/2019, 0.0020240545, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190411T015002Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 04/17/2019, 0.0029028654, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190417T014920Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 04/23/2019, -0.0009331703, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190423T015003Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 04/29/2019, -0.0018769503, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190429T014921Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 05/11/2019, -0.0009212494, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190511T014921Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 05/17/2019, -0.0085908175, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190517T015004Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 05/23/2019, -0.0003759563, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190523T014922Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 05/29/2019, -0.0013769865, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190529T015004Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 06/10/2019, 0.002435565, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190610T015005Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 06/16/2019, -0.0023943186, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190616T014924Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 06/22/2019, -0.0020076036, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190622T015006Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 06/28/2019, -0.0013033152, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190628T014924Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/04/2019, -0.0010573864, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190704T015006Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/10/2019, -0.0006412268, OPERA_L3_DISP-S1_IW_F16940_VV_20190330T015002Z_20190710T014925Z_v1.0_20250410T084302Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/16/2019, -0.0036143064, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190716T015007Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/22/2019, 0.0078655481, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190722T014926Z_v1.0_20250410T171832Z.nc
